# SMF observations as plotted in SAGE26 Paper I, Figure 12.
# Generated by build_paper_observations.py -- do not hand-edit.
label z log_mass log_phi err_lo err_hi
Thorne+21 2.0000 11.91884 -5.31078 1.30103 0.30103
Thorne+21 2.0000 11.96194 -5.31078 1.30103 0.30103
Thorne+21 2.0000 12.04815 -5.31078 1.30103 0.30103
Thorne+21 2.0000 12.09126 -5.31078 1.30103 0.30103
Thorne+21 2.4000 10.07742 -3.07021 0.03182 0.02965
Thorne+21 2.4000 10.10251 -2.96767 0.02890 0.02710
Thorne+21 2.4000 10.12760 -2.91178 0.02705 0.02546
Thorne+21 2.4000 10.15269 -3.00259 0.03141 0.02929
Thorne+21 2.4000 10.17778 -2.97330 0.02929 0.02744
Thorne+21 2.4000 10.20287 -3.02753 0.03103 0.02896
Thorne+21 2.4000 10.22796 -3.04500 0.03236 0.03011
Thorne+21 2.4000 10.25305 -3.04277 0.03218 0.02996
Thorne+21 2.4000 10.27814 -3.05628 0.03324 0.03088
Thorne+21 2.4000 10.30323 -3.10714 0.03476 0.03218
Thorne+21 2.4000 10.32832 -3.10972 0.03498 0.03237
Thorne+21 2.4000 10.35341 -3.08952 0.03333 0.03095
Thorne+21 2.4000 10.37850 -3.15894 0.03621 0.03342
Thorne+21 2.4000 10.40359 -3.21118 0.03749 0.03451
Thorne+21 2.4000 10.42868 -3.17068 0.03725 0.03430
Thorne+21 2.4000 10.45377 -3.16771 0.03698 0.03408
Thorne+21 2.4000 10.47886 -3.15319 0.03572 0.03300
Thorne+21 2.4000 10.50395 -3.23812 0.04001 0.03663
Thorne+21 2.4000 10.52904 -3.24867 0.04104 0.03749
Thorne+21 2.4000 10.55413 -3.33939 0.04625 0.04179
Thorne+21 2.4000 10.57922 -3.26315 0.04250 0.03871
Thorne+21 2.4000 10.60431 -3.33071 0.04528 0.04100
Thorne+21 2.4000 10.62940 -3.36190 0.04885 0.04391
Thorne+21 2.4000 10.65449 -3.34380 0.04674 0.04220
Thorne+21 2.4000 10.67959 -3.40053 0.04801 0.04323
Thorne+21 2.4000 10.70468 -3.33071 0.04528 0.04100
Thorne+21 2.4000 10.72977 -3.42654 0.05115 0.04576
Thorne+21 2.4000 10.75486 -3.36655 0.04940 0.04435
Thorne+21 2.4000 10.77995 -3.47171 0.05041 0.04516
Thorne+21 2.4000 10.80504 -3.52212 0.05704 0.05041
Thorne+21 2.4000 10.83013 -3.45997 0.05552 0.04922
Thorne+21 2.4000 10.85522 -3.52885 0.05799 0.05115
Thorne+21 2.4000 10.88031 -3.61903 0.06279 0.05485
Thorne+21 2.4000 10.90540 -3.50252 0.05436 0.04830
Thorne+21 2.4000 10.93049 -3.61075 0.06152 0.05388
Thorne+21 2.4000 10.95558 -3.62746 0.06412 0.05586
Thorne+21 2.4000 10.98067 -3.71178 0.06695 0.05799
Thorne+21 2.4000 11.00576 -3.75525 0.07463 0.06367
Thorne+21 2.4000 11.03085 -3.63606 0.06550 0.05690
Thorne+21 2.4000 11.05594 -3.71178 0.06695 0.05799
Thorne+21 2.4000 11.08103 -3.90367 0.08894 0.07379
Thorne+21 2.4000 11.10612 -3.79096 0.08167 0.06872
Thorne+21 2.4000 11.13121 -4.05628 0.10266 0.08297
Thorne+21 2.4000 11.15630 -4.05628 0.10266 0.08297
Thorne+21 2.4000 11.18139 -3.99261 0.11197 0.08894
Thorne+21 2.4000 11.20648 -4.22109 0.15970 0.11651
